text,task_1,task_2
शहाबुद्दीन को इन्साफ दो  @सुप्रीम_कोर्ट  https://t.co/UXWw6LaK8H  @PunyaPBajpai @Ravishk356 @AshrafFem @PMOIndia @CMOfficeUP @ANI @BBCHindi @AltNews @nytimes @shanu_sab @Rofl_Swara @SChoudharyNews @ModiLeDubega  #JusticeForShahabuddin #JusticeForShahabuddin #JusticeForShahabuddin,NOT,NONE
@BJP4Bihar 303 सांसद इसीलिए आपको दिया गया है कि आप घर मे बैठे रहें और आपके कार्यकर्ता अपना जान दें।  #BJP  #BengalBurning  #BengalViolence,NOT,NONE
"2024 में कोई कार्यकर्ता जब पूछ बैठेगा ख़ामोशी का कारण तुमसे, बहुत समझाना चाहोगे मगर समझा ना पाओगे !!#SpinelessBJP #BengalViolence  #BengalBurning https://t.co/xTibMQGuxQ",NOT,NONE
चुनाव में लाखों की भीड ओर धरना VVIP आज जरूरत है ऑक्सीजन व ईलाज की ओर ये जनता को भडका रहे हैं।भाजपा हैं दंगा पार्टी। #OxygenShortage #Corona #bangalviolence #tmcgoons #BJP #AAP @abhisar_sharma @MamataOfficial @RahulGandhi @ArvindKejriwal #ResignModi #IndiaFightsCorona https://t.co/io58c6VdLb,HOF,HATE
हमारे उम्मीदवार का यह दुर्दशा किया है टोलाबाज गुंडों ने #PresidentsRuleinBengal #BengalBurning https://t.co/GneJ7Fp2IW,HOF,HATE
@Awesomely_Pari मोदी तुम इस्तीफा दो हम तुम्हारे साथ है #ResignModi  #Resign_PM_Modi  #ModiHataoDeshBachao https://t.co/spsvPTov8W,NOT,NONE
जातियों के कमरे में मत छिप                मूर्ख!! बाहर आकर देख हिन्दुत्व का ब्रांड बनकर जीने का मजा ही            कुछ और है!!       🚩जय श्री राम🚩 https://t.co/4KGQbygG7u,NOT,NONE
देश के गद्दार हरामी दोगलो के कारनामे https://t.co/8Zz39ds8T9,HOF,HATE
योगी जी.  इस BSDK वाले की सुरक्षा मे दो राफेल जहाज लगाओ...   बाकी हमे पता है इसकी शकल देखकर कोई कुतिया भी नहीं मूतेगी 🤣🤣🤣 https://t.co/pMNPNFcFb7,HOF,PRFN
@TimesNow @ravi4354 ONCE IN A CENTURY  @narendramodi @PMOIndia  #मनहुस_मोदी का साया मेरे देश के ऊपर से हट जाएगा आर्मी सारा काम संभाल रही है दवाई ऑक्सीजन आदि भी तेरे राजनीति से मुक्त हो जायेगी सभी के अपने अकालमृत्यु मर रहे है  #ResignModi मानवता केलिऐ #Resign_PM_Modi देशभक्त हो तो,NOT,NONE
@orca2409 @ZDTnrzUWf8fR6m4 @ActivistSandeep @RahulGandhi चाटुकार भौकता रह bsdk बांग्लादेश की आबादी देख वहां तेरे जैसे चुटिया को बोलना भी मना हे बांग्लादेश का परतर करता हैं लोली वैक्सिन वैक्सिन चिल्लाता रहा और पप्पू ने राजस्थान ने 11लाख वैक्सिन खराब कर दी उस्प्पर भी कुछ बोल,HOF,OFFN
"@PiyushrajGupt12 बेटा संघी देश के अजादी में तुमलोगो का कोई हाथ नही है बे ...अंग्रेजो का दलाली करने वाले लोग आज 𝓣𝔀𝓲𝓽𝓽𝓮𝓻 पे रो रहे हैं ,,, संघी को छोड़ कर सभी हिन्दू मुस्लिम सीख ईसाई सभी का अहम रोल है था ,,, तेरे जैसै संघी गांडू चुप चाप रहो बे लौड़े 𝓦𝓱𝓪𝓽𝓼𝓪𝓹𝓹 𝓤𝓷𝓲𝓿𝓮𝓻𝓬𝓲𝓽𝔂 वाले",HOF,HATE
"आज हमारे साथ RJD का एक भी नेता खड़ा नहीं दिख रहा, पहले हमारी लड़ाई RSS/BJP से थी अब RJD से भी हैं! #JusticeForShahabuddin @osama_shahab_",NOT,NONE
"दो मिनट का मौन ऊन हराम-खोरो के लिए भी जिनको बंगाल में चुनावी रैली दिखी मोदी की सारी गलतिया दिखी, कोरोना भी दिखा किन्तु अब TMC के गुंडो द्वारा हिंसा, लूट, आगजनि और बलात्कार नहीं दिख रहा। #BengalBurning #secular_dogle",HOF,HATE
"@AmarUjalaNews @drharshvardhan @ArvindKejriwal मोदी ने देश का बंटाधार कर रखा है, अगर कुछ कर नहीं सकते तो कुर्सी छोर क्यूँ नहीं देते? #ResignModi #ResignHarshvardhan #ModiMadeDisaster #ModiOxygenDo",HOF,OFFN
"🥀 हरि ॐ🥀 !! सनातनी भाई-बहनों को!!     🥀 शुभ रात्रि🥀 !! दुष्ट अपकार से नहीं, उपकार से    ही शांत रहता है!! 🚩 जय श्री राम🙏🚩",NOT,NONE
